;Run;AssemblyName;bases;size_MB;LibraryLayout;BioSample;ScientificName;LibraryStrategy;LibrarySelection;LibrarySource;Sex;Analyte_Type;Histological_Type;Body_Site;Tissue;Dev
89;SRR7772552;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;36052363698;13970;PAIRED;SAMN09939844;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
90;SRR7772555;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;12948129562;4795;PAIRED;SAMN09939845;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
91;SRR7772556;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;28932809443;10282;PAIRED;SAMN09939846;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
92;SRR7772553;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;40904924745;14323;PAIRED;SAMN09939847;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
93;SRR7772554;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;17362737093;6462;PAIRED;SAMN09939848;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
94;SRR7772559;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;11813922957;4902;PAIRED;SAMN09939849;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
95;SRR7772546;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;14529776591;5080;PAIRED;SAMN09939836;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
96;SRR7772543;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;27116693230;9772;PAIRED;SAMN09939837;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
97;SRR7772544;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;12496502487;4797;PAIRED;SAMN09939838;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
98;SRR7772549;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;18972711947;6071;PAIRED;SAMN09939839;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
99;SRR7772550;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;12494841686;4906;PAIRED;SAMN09939840;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
100;SRR7772547;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;12423318602;5158;PAIRED;SAMN09939841;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
101;SRR7772548;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;13002881141;5131;PAIRED;SAMN09939842;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
102;SRR7772551;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;14174313512;5451;PAIRED;SAMN09939843;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
387;ERR034191;;9134449020;6114;PAIRED;SAMEA762111;Acromyrmex_echinatior;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;cell line;NA
393;ERR202908;;1181733660;717;PAIRED;SAMEA1695846;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
394;ERR202899;;1220278320;756;PAIRED;SAMEA1695847;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
395;ERR202909;;1163890260;686;PAIRED;SAMEA1695848;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
396;ERR202900;;1168673940;724;PAIRED;SAMEA1695849;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
397;ERR202905;;1185139620;697;PAIRED;SAMEA1695850;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
398;ERR202906;;1208409120;709;PAIRED;SAMEA1695851;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
399;ERR202901;;1177164720;733;PAIRED;SAMEA1695852;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
400;ERR202898;;1215414900;751;PAIRED;SAMEA1695853;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
401;ERR202902;;1231198560;769;PAIRED;SAMEA1695854;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
402;ERR202904;;1240282800;774;PAIRED;SAMEA1695855;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
403;ERR202910;;1176187680;693;PAIRED;SAMEA1695856;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
404;ERR202907;;1177709040;714;PAIRED;SAMEA1695857;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
405;ERR202903;;1169410680;726;PAIRED;SAMEA1695858;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
406;ERR202911;;1161575820;683;PAIRED;SAMEA1695859;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
407;ERR202912;;1164426660;687;PAIRED;SAMEA1695860;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
492;SRR2000538;;2395684200;1483;PAIRED;SAMN03460192;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
493;SRR2000539;;2875249860;1784;PAIRED;SAMN03460193;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
494;SRR2000540;;2244963000;1391;PAIRED;SAMN03460194;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
495;SRR2000541;;1498558320;941;PAIRED;SAMN03460195;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
496;SRR2000542;;2943839010;1847;PAIRED;SAMN03460196;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
500;SRR5867417;;1996751820;1194;SINGLE;SAMN07414784;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
501;SRR5867418;;1400959245;829;SINGLE;SAMN07414785;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
502;SRR5867419;;1377537420;826;SINGLE;SAMN07414786;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
503;SRR5867420;;1503091065;896;SINGLE;SAMN07414787;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
504;SRR5867421;;2062582305;1227;SINGLE;SAMN07414788;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
505;SRR5867422;;1576554315;949;SINGLE;SAMN07414789;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
506;SRR5867423;;1362826710;813;SINGLE;SAMN07414790;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
507;SRR5867424;;1694005110;1023;SINGLE;SAMN07414791;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
508;SRR5867415;;1244439315;750;SINGLE;SAMN07414792;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
509;SRR5867416;;2037365505;1228;SINGLE;SAMN07414793;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;Gut;larval
510;SRR2682325;;6668781540;4190;PAIRED;SAMN04192329;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;missing;;;;antenna;NA
538;SRR1799851;;6068372294;4059;PAIRED;SAMN03339737;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;female;;;;whole organism;adult
544;SRR1799852;;6719579490;4552;PAIRED;SAMN03339738;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;male;;;;whole organism;adult
546;SRR1290861;;17468631600;10180;PAIRED;SAMN02782214;Anoplophora_glabripennis;RNA-Seq;PolyA;TRANSCRIPTOMIC;not determined;;;;Whole insect;NA
547;SRR1292125;;17468631600;10180;PAIRED;SAMN02782214;Anoplophora_glabripennis;RNA-Seq;PolyA;TRANSCRIPTOMIC;not determined;;;;Whole insect;NA
551;SRR827491;;62532600;143;SINGLE;SAMN02028621;Anoplophora_glabripennis;EST;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
552;SRR2000521;;3021143160;1868;PAIRED;SAMN03460189;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
553;SRR2000536;;3016659240;1864;PAIRED;SAMN03460190;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
554;SRR2000537;;3049680690;1967;PAIRED;SAMN03460191;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;not applicable;;;;midgut;larva
557;SRR1986051;;1510571580;920;SINGLE;SAMN03497776;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
558;SRR1986052;;1508329620;919;SINGLE;SAMN03497777;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
559;SRR1986053;;1266531210;816;SINGLE;SAMN03497778;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
560;SRR1986054;;1197842100;731;SINGLE;SAMN03497779;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
561;SRR1986055;;1437624930;874;SINGLE;SAMN03497780;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
562;SRR1986056;;1122481500;693;SINGLE;SAMN03497781;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
563;SRR1986057;;749279160;465;SINGLE;SAMN03497782;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
564;SRR1986058;;1471919505;915;SINGLE;SAMN03497905;Anoplophora_glabripennis;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;midgut;larvae
566;SRR827514;;26522412746;16185;PAIRED;SAMN02028622;Anoplophora_glabripennis;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;NA;NA
568;SRR1503155;;2910592200;1893;PAIRED;SAMN02870214;Aphidius_colemani;EST;cDNA;TRANSCRIPTOMIC;missing;;;;whole organism;adult
594;SRR9034696;;26187522900;9719;PAIRED;SAMN11609829;Apis_dorsata;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;whole body without belly;NA
743;SRR10501692;;8460831900;2669;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
744;SRR10501693;;7556778000;2398;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
745;SRR10501694;;8940188700;3120;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
746;SRR10501695;;8541381600;2734;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
747;SRR10501696;;8449875900;2682;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
748;SRR10501697;;8457556200;2652;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
749;SRR10501698;;8661064800;2781;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
750;SRR10501699;;8529786900;2675;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
751;SRR10501700;;7640481000;2383;PAIRED;SAMN13339006;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;heads;adult
753;SRR7741648;;566444150;178;SINGLE;SAMN09874045;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 7-day-old worker without treanment
754;SRR7741647;;858095550;270;SINGLE;SAMN09874046;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 10-day-old worker without treanment
757;SRR7741652;;560695300;173;SINGLE;SAMN09874037;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 7d post infection with N. ceranae
758;SRR7741651;;727462250;230;SINGLE;SAMN09874038;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 7d post infection with N. ceranae
759;SRR7741650;;551488350;173;SINGLE;SAMN09874039;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 7d post infection with N. ceranae
760;SRR7741649;;663196500;216;SINGLE;SAMN09874040;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 10d post infection with N. ceranae
814;SRR7741654;;637885300;210;SINGLE;SAMN09874043;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 7-day-old worker without treanment
815;SRR7741653;;639727150;201;SINGLE;SAMN09874044;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 7-day-old worker without treanment
816;SRR7741658;;583315250;191;SINGLE;SAMN09874047;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 10-day-old worker without treanment
817;SRR7741657;;587861150;190;SINGLE;SAMN09874048;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana 10-day-old worker without treanment
818;SRR7741656;;684404100;226;SINGLE;SAMN09874041;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 10d post infection with N. ceranae
819;SRR7741655;;646817850;209;SINGLE;SAMN09874042;Apis_cerana;miRNA-Seq;PCR;TRANSCRIPTOMIC;;;;;midgut;midgut samples from Apis cerana cerana worker 10d post infection with N. ceranae
875;SRR6505206;;8555921400;3471;PAIRED;SAMN08384702;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
876;SRR6505209;;8651377200;3499;PAIRED;SAMN08384752;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
877;SRR6505211;;8581011300;3440;PAIRED;SAMN08384753;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
878;SRR6506058;;8641739700;3533;PAIRED;SAMN08384754;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
879;SRR6505782;;8687571300;3544;PAIRED;SAMN08384755;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
880;SRR6505783;;8626868700;3487;PAIRED;SAMN08384756;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
881;SRR6505785;;8532973500;3478;PAIRED;SAMN08384757;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
882;SRR6505784;;8532946500;3471;PAIRED;SAMN08384758;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
883;SRR6506157;;8497577100;3445;PAIRED;SAMN08384759;Apis_cerana;RNA-Seq;RANDOM PCR;TRANSCRIPTOMIC;;;;;Embryo;NA
884;SRR7339935;;16982373310;7192;PAIRED;SAMN09404766;Apis_cerana;RNA-Seq;RANDOM;TRANSCRIPTOMIC;;;;;whole organism;NA
1075;SRR4096528;;59666605085;33599;PAIRED;SAMN05712688;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;not determined;;;;unknow;not determined
1076;SRR1380976;;2901432656;1816;PAIRED;SAMN05199459;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;antennae;NA
1077;SRR1388774;;12587287206;8486;PAIRED;SAMN05199461;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;fat body;NA
1078;SRR1380984;;5301474446;3557;PAIRED;SAMN05199462;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;gut;NA
1079;SRR1408614;;169530070;113;SINGLE;SAMN05199463;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;head;NA
1080;SRR1380979;;2842498550;1789;PAIRED;SAMN05199464;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
1081;SRR1406762;;17772986362;12019;PAIRED;SAMN05199465;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;venom gland;NA
1082;SRR4051855;;56756823945;34537;PAIRED;SAMN05592186;Apis_mellifera;RNA-Seq;cDNA;TRANSCRIPTOMIC;not determined;;;;larvae body;larvae
1083;SRR1408090;;2624152306;1669;PAIRED;SAMN05199466;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;antennae;NA
1084;SRR1386316;;2755889636;1743;PAIRED;SAMN05199467;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;brain;NA
1085;SRR1407793;;2820128464;1816;PAIRED;SAMN05199468;Apis_mellifera;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
1086;SRR4067782;;66623629474;39104;PAIRED;SAMN05601678;Apis_cerana;RNA-Seq;cDNA;TRANSCRIPTOMIC;not determined;;;;larvae body;larvae
1087;SRR4051820;;3355144945;2026;PAIRED;SAMN05601678;Apis_cerana;RNA-Seq;cDNA;TRANSCRIPTOMIC;not determined;;;;larvae body;larvae
1128;SRR1380970;;2834834872;1775;PAIRED;SAMN05199460;Apis_cerana;RNA-Seq;PolyA;TRANSCRIPTOMIC;;;;;brain;NA
1274;SRR1653580;;7867748096;4858;PAIRED;SAMN02592885;Apis_cerana;RNA-Seq;unspecified;TRANSCRIPTOMIC;;;;;NA;NA
1275;SRR1653592;;4985757940;3271;PAIRED;SAMN02592885;Apis_cerana;RNA-Seq;unspecified;TRANSCRIPTOMIC;;;;;NA;NA
1276;SRR1653605;;5143639726;3370;PAIRED;SAMN02592885;Apis_cerana;RNA-Seq;unspecified;TRANSCRIPTOMIC;;;;;NA;NA
1277;SRR1036357;;588000000;369;SINGLE;SAMN02414606;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
1278;SRR1036358;;588000000;353;SINGLE;SAMN02414604;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
1279;SRR1036359;;588000000;354;SINGLE;SAMN02414605;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;;;;;hypopharyngeal gland;NA
1306;SRR1914350;;4557529620;3080;PAIRED;SAMN03401145;Apis_cerana;RNA-Seq;size fractionation;TRANSCRIPTOMIC;male;;;whole body without alimentary canal;whole body without alimentary canal;adult
2149;SRR849283;;4442277780;2734;PAIRED;SAMN02117328;Apis_mellifera;RNA-Seq;size fractionation;TRANSCRIPTOMIC;female;;;;NA;Adult
2186;SRR098291;;77912455;179;SINGLE;SAMN00205597;Apis_florea;EST;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
2187;SRR098292;;17807079;39;SINGLE;SAMN00205597;Apis_florea;EST;cDNA;TRANSCRIPTOMIC;;;;;NA;NA
2188;SRR3657423;;7522033892;3789;PAIRED;SAMN05225359;Apis_florea;RNA-Seq;cDNA;TRANSCRIPTOMIC;male;;;;antennae;NA
2189;SRR3657424;;7313547368;3712;PAIRED;SAMN05225360;Apis_florea;RNA-Seq;cDNA;TRANSCRIPTOMIC;male;;;;antennae;NA
2190;SRR3657425;;9094529404;4768;PAIRED;SAMN05225361;Apis_florea;RNA-Seq;cDNA;TRANSCRIPTOMIC;female;;;;antennae;NA
2191;SRR3657426;;6166468630;3241;PAIRED;SAMN05225362;Apis_florea;RNA-Seq;cDNA;TRANSCRIPTOMIC;female;;;;antennae;NA
2215;SRR12031953;;6482806246;1983;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
2216;SRR12031954;;6221631900;1916;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
2217;SRR12031961;;6678225756;2046;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
2218;SRR12031962;;7524497892;2286;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
2219;SRR12031963;;6382682860;1969;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
2220;SRR12031964;;7425159018;2261;PAIRED;SAMN15241853;Apis_mellifera;RNA-Seq;RT-PCR;TRANSCRIPTOMIC;;;;;total body;NA
