Table representing for each cluster of homologous EVEs the transposable elements of the RepeatModeler RepeatPeps database overlapping with EVEs. The overlap percentage represents the fractional size of the transposable element that overlaps with the EVEs. Only TEs overlapping at least 20% inside the EVEs and at least 50% to the right or left of the EVE were kept. 										
Clustername	Query	Qstart	Qend	Qevalue	Overlapping_TE	TE_start	TE_end	TE_evalue	Overlap_percentage	TE_orientation
Cluster4185	scaffold_5748:2638-3109(+):Anagyrus_pseudococci	2638	3109	5.769e-13	Gypsy-24_NVi_env#LTR/Gypsy	2639	3106	1.794e-43	99.15074309978769	inside
Cluster4185	scaffold_43366:232-907(-):Anagyrus_pseudococci	232	907	4.77e-12	Gypsy5-NVi_env#LTR/Gypsy	16	702	6.957e-24	69.62962962962963	left
Cluster4185	NJRQ01002656.1:7343-9116(+):Aphaenogaster_ashmeadi	7343	9116	1.628e-122	Gypsy-11_SI_env#LTR/Gypsy	7350	9116	8.903e-286	99.60518894529046	inside
Cluster4185	NJRQ01002656.1:7343-9116(+):Aphaenogaster_ashmeadi	7343	9116	1.628e-122	Gypsy-11_SI_env#LTR/Gypsy	7350	9116	8.903e-286	99.60518894529046	right
Cluster4185	NJRQ01001702.1:23203-23758(+):Aphaenogaster_ashmeadi	23203	23758	2.109e-09	Gypsy5-NVi_env#LTR/Gypsy	23216	23566	2.956e-21	63.06306306306306	inside
Cluster4185	NJRP01000712.1:39762-41556(+):Aphaenogaster_floridana	39762	41556	2.158e-94	Gypsy-9_PBa_env#LTR/Gypsy	39763	40653	5.084e-101	49.609810479375696	inside
Cluster4185	NJRP01000712.1:39762-41556(+):Aphaenogaster_floridana	39762	41556	2.158e-94	Gypsy-7_PBa_env#LTR/Gypsy	40924	41439	1.85e-50	28.70680044593088	inside
Cluster4185	NJRP01003154.1:14162-15035(+):Aphaenogaster_floridana	14162	15035	7.385e-25	Gypsy5-NVi_env#LTR/Gypsy	14355	15026	2.172e-30	76.86139747995419	inside
Cluster4185	NJRO01003787.1:5254-7261(+):Aphaenogaster_fulva	5254	7261	7.607e-135	Gypsy-19_PBa_env#LTR/Gypsy	5285	7087	2.7149999999999996e-206	89.78574987543597	inside
Cluster4185	NJRO01001893.1:23616-24390(+):Aphaenogaster_fulva	23616	24390	3.478e-28	Gypsy-24_NVi_env#LTR/Gypsy	23626	24351	3.726e-33	93.66925064599482	inside
Cluster4185	NJRO01002995.1:6127-6670(+):Aphaenogaster_fulva	6127	6670	3.1330000000000003e-25	Gypsy-6_AEc_env#LTR/Gypsy	6128	6538	1.785e-45	75.50644567219152	inside
Cluster4185	NJRO01003568.1:2719-3268(+):Aphaenogaster_fulva	2719	3268	9.633e-18	Gypsy-17_PBa_pol#LTR/Gypsy	2985	3356	1.091e-27	51.54826958105647	right
Cluster4185	NJRN01003044.1:6854-7829(-):Aphaenogaster_miamiana	6854	7829	3.937e-66	Gypsy-6_AEc_env#LTR/Gypsy	7200	7583	5.728e-49	39.282051282051285	inside
Cluster4185	NJRN01002946.1:3840-4938(+):Aphaenogaster_miamiana	3840	4938	2.253e-36	Gypsy5-NVi_env#LTR/Gypsy	3883	4971	2.784e-40	96.08378870673953	right
Cluster4185	NJRN01006802.1:15-1020(-):Aphaenogaster_miamiana	15	1020	1.151e-33	Gypsy5-NVi_env#LTR/Gypsy	115	1014	4.478e-40	89.45273631840796	inside
Cluster4185	NJRN01005504.1:426-2378(+):Aphaenogaster_miamiana	426	2378	6.852e-30	Gypsy-11_SI_env#LTR/Gypsy	448	999	7.2740000000000015e-84	28.227459016393443	inside
Cluster4185	NJRN01002157.1:8551-9073(+):Aphaenogaster_miamiana	8551	9073	1.341e-17	Gypsy5-NVi_env#LTR/Gypsy	8582	9043	1.748e-25	88.31417624521073	inside
Cluster4185	NJRN01002257.1:3981-4482(-):Aphaenogaster_miamiana	3981	4482	1.014e-14	Gypsy-19_PBa_pol#LTR/Gypsy	4142	4564	1.9209999999999998e-53	67.86427145708582	right
Cluster4185	NJRM01005835.1:758-1547(-):Aphaenogaster_picea	758	1547	2.11e-45	Gypsy-19_PBa_env#LTR/Gypsy	529	1263	1.453e-70	64.00506970849176	left
Cluster4185	NJRM01003901.1:2324-3694(+):Aphaenogaster_picea	2324	3694	5.047e-44	Gypsy-19_PBa_env#LTR/Gypsy	2963	3640	2.653e-77	49.416058394160586	inside
Cluster4185	NJRM01001981.1:27977-29420(+):Aphaenogaster_picea	27977	29420	7.203e-43	Gypsy-6_AEc_env#LTR/Gypsy	28011	29405	7.674e-49	96.60429660429661	inside
Cluster4185	NJRM01002651.1:19528-20287(+):Aphaenogaster_picea	19528	20287	7.57e-28	Gypsy5-NVi_env#LTR/Gypsy	19529	20281	3.674e-29	99.07773386034255	inside
Cluster4185	NJRM01002514.1:3975-4518(-):Aphaenogaster_picea	3975	4518	3.1330000000000003e-25	L2-6_NVi_pol#LINE/L2	4111	4569	1.639e-31	74.95395948434623	right
Cluster4185	NJRL01003633.1:9402-11303(+):Aphaenogaster_rudis	9402	11303	3.463e-119	Gypsy-6_AEc_env#LTR/Gypsy	9415	11163	3.712e-281	91.95160441872699	inside
Cluster4185	NJRL01007135.1:311-1100(+):Aphaenogaster_rudis	311	1100	2.883e-45	Gypsy-19_PBa_env#LTR/Gypsy	360	1094	1.791e-69	93.02915082382764	inside
Cluster4185	NJRL01007053.1:294-1035(+):Aphaenogaster_rudis	294	1035	2.821e-39	Gypsy-19_PBa_env#LTR/Gypsy	295	924	6.281e-96	84.88529014844805	inside
Cluster4185	NJRL01005977.1:1634-2633(+):Aphaenogaster_rudis	1634	2633	1.047e-24	Gypsy5-NVi_env#LTR/Gypsy	1674	2360	1.304e-29	68.66866866866866	inside
Cluster4185	AOFN02000324.1:775-2074(-):Athalia_rosae	775	2074	3.8449999999999996e-83	Polinton-2_NVi_pw#DNA/Maverick	1057	1533	1.497e-26	36.64357197844495	inside
Cluster4185	AOFN02000404.1_1:1936-2554(+):Athalia_rosae	1936	2554	4.838e-24	Gypsy-6_AEc_env#LTR/Gypsy	1943	2545	7.273e-31	97.41100323624595	inside
Cluster4185	NT_177254.1:154-658(+):Bombus_impatiens	154	658	9.304000000000001e-25	Gypsy-9_PBa_env#LTR/Gypsy	191	658	7.857e-46	92.65873015873017	inside
Cluster4185	NT_177254.1:154-658(+):Bombus_impatiens	154	658	9.304000000000001e-25	Gypsy-9_PBa_env#LTR/Gypsy	191	658	7.857e-46	92.65873015873017	right
Cluster4185	scaffold_3361:1-751(-):Campopleginae	1	751	1.122e-55	Gypsy-19_PBa_env#LTR/Gypsy	2	751	1.416e-77	99.86666666666667	inside
Cluster4185	scaffold_3361:1-751(-):Campopleginae	1	751	1.122e-55	Gypsy-19_PBa_env#LTR/Gypsy	2	751	1.416e-77	99.86666666666667	right
Cluster4185	scaffold_3481:0-687(+):Campopleginae	0	687	8.032e-43	Gypsy-19_PBa_env#LTR/Gypsy	1	648	1.953e-69	94.17758369723435	inside
Cluster4185	scaffold_3400:0-600(+):Campopleginae	0	600	6.018e-42	Gypsy-9_PBa_env#LTR/Gypsy	1	600	8.772000000000001e-63	99.83333333333333	inside
Cluster4185	scaffold_3400:0-600(+):Campopleginae	0	600	6.018e-42	Gypsy-9_PBa_env#LTR/Gypsy	1	600	8.772000000000001e-63	99.83333333333333	right
Cluster4185	SGAY01019009.1:223-1720(-):Cataglyphis_hispanica	223	1720	4.788e-104	Gypsy-11_SI_env#LTR/Gypsy	461	1858	2.344e-162	84.10153640614563	right
Cluster4185	SGAY01024998.1:4-889(-):Cataglyphis_hispanica	4	889	3.242e-66	Gypsy-17_PBa_env#LTR/Gypsy	0	881	1.515e-105	99.09604519774011	left
Cluster4185	SGAY01020161.1:1100-1826(+):Cataglyphis_hispanica	1100	1826	1.5909999999999998e-41	Gypsy5-NVi_env#LTR/Gypsy	1140	1739	2.425e-59	82.5068870523416	inside
Cluster4185	SGAY01027404.1:0-585(+):Cataglyphis_hispanica	0	585	1.03e-36	Gypsy-6_AEc_env#LTR/Gypsy	1	585	3.296e-94	99.82905982905983	inside
Cluster4185	SGAY01027404.1:0-585(+):Cataglyphis_hispanica	0	585	1.03e-36	Gypsy-6_AEc_env#LTR/Gypsy	1	585	3.296e-94	99.82905982905983	right
Cluster4185	SGAY01026810.1:0-612(-):Cataglyphis_hispanica	0	612	1.064e-36	Gypsy5-NVi_env#LTR/Gypsy	94	657	3.11e-54	84.640522875817	right
Cluster4185	SGAY01020858.1:846-1449(+):Cataglyphis_hispanica	846	1449	6.8670000000000015e-34	Gypsy5-NVi_env#LTR/Gypsy	910	1449	9.982e-48	89.38640132669984	inside
Cluster4185	SGAY01020858.1:846-1449(+):Cataglyphis_hispanica	846	1449	6.8670000000000015e-34	Gypsy5-NVi_env#LTR/Gypsy	910	1449	9.982e-48	89.38640132669984	right
Cluster4185	SGAY01025921.1:141-678(+):Cataglyphis_hispanica	141	678	4.0319999999999994e-28	Gypsy-7_PBa_env#LTR/Gypsy	148	678	9.199e-47	98.69646182495345	inside
Cluster4185	SGAY01025921.1:141-678(+):Cataglyphis_hispanica	141	678	4.0319999999999994e-28	Gypsy-7_PBa_env#LTR/Gypsy	148	678	9.199e-47	98.69646182495345	right
Cluster4185	SJPC01029734.1:2-821(+):Cataglyphis_niger	2	821	2.835e-64	Gypsy-7_PBa_env#LTR/Gypsy	3	821	1.557e-138	99.87789987789988	inside
Cluster4185	SJPC01029734.1:2-821(+):Cataglyphis_niger	2	821	2.835e-64	Gypsy-7_PBa_env#LTR/Gypsy	3	821	1.557e-138	99.87789987789988	right
Cluster4185	SJPC01041231.1:88-643(+):Cataglyphis_niger	88	643	4.012e-44	Gypsy-17_PBa_env#LTR/Gypsy	92	631	2.507e-86	97.11711711711712	inside
Cluster4185	SJPC01004802.1_0:6526-7392(+):Cataglyphis_niger	6526	7392	9.385000000000001e-31	Gypsy-6_AEc_env#LTR/Gypsy	6530	7123	1.859e-85	68.4757505773672	inside
Cluster4185	SJPC01013476.1:1879-2452(+):Cataglyphis_niger	1879	2452	1.4350000000000002e-26	Gypsy-19_PBa_env#LTR/Gypsy	1940	2446	6.684e-63	88.30715532286213	inside
Cluster4185	SJPC01008641.1:4544-5054(+):Cataglyphis_niger	4544	5054	1.003e-24	Gypsy5-NVi_env#LTR/Gypsy	4557	5054	9.2e-50	97.45098039215686	inside
Cluster4185	SJPC01008641.1:4544-5054(+):Cataglyphis_niger	4544	5054	1.003e-24	Gypsy5-NVi_env#LTR/Gypsy	4557	5054	9.2e-50	97.45098039215686	right
Cluster4185	SJPC01028234.1:179-758(+):Cataglyphis_niger	179	758	8.053e-19	Gypsy-19_PBa_env#LTR/Gypsy	213	767	4.503e-58	94.12780656303973	right
Cluster4185	UCOJ01001908.1:8631-10524(-):Cecidostiba_fungosa	8631	10524	1.897e-132	Gypsy5-NVi_env#LTR/Gypsy	8171	10039	1.467e-241	74.37929212889594	left
Cluster4185	UCOJ01003869.1:614-2567(+):Cecidostiba_fungosa	614	2567	3.0559999999999996e-88	Gypsy-19_PBa_env#LTR/Gypsy	612	2399	1.012e-138	91.39784946236558	left
Cluster4185	UCOJ01002229.1_0:7264-9232(+):Cecidostiba_fungosa	7264	9232	2.993e-87	Gypsy-19_PBa_env#LTR/Gypsy	7319	9064	1.183e-135	88.66869918699187	inside
Cluster4185	UCQR01075423.1:87-2025(+):Cecidostiba_semifascia	87	2025	6.7739999999999995e-133	Gypsy5-NVi_env#LTR/Gypsy	103	1902	3.321e-243	92.82765737874097	inside
Cluster4185	UCQR01003820.1:0-1773(+):Cecidostiba_semifascia	0	1773	8.098999999999999e-103	Gypsy-24_NVi_env#LTR/Gypsy	4	1773	5.744000000000001e-225	99.77439368302312	inside
Cluster4185	UCQR01003820.1:0-1773(+):Cecidostiba_semifascia	0	1773	8.098999999999999e-103	Gypsy-24_NVi_env#LTR/Gypsy	4	1773	5.744000000000001e-225	99.77439368302312	right
Cluster4185	UCQR01125758.1:2-977(-):Cecidostiba_semifascia	2	977	4.5390000000000004e-70	Gypsy-6_AEc_env#LTR/Gypsy	157	1083	7.274e-101	84.1025641025641	right
Cluster4185	UCQR01108334.1:336-1197(-):Cecidostiba_semifascia	336	1197	5.384999999999999e-51	Gypsy-24_NVi_env#LTR/Gypsy	2	880	3.955e-153	63.18234610917538	left
Cluster4185	UCQR01016249.1:6-624(+):Cecidostiba_semifascia	6	624	5.014999999999999e-44	Gypsy-6_AEc_env#LTR/Gypsy	1	624	8.025e-65	100	full
Cluster4185	UCQR01016249.1:6-624(+):Cecidostiba_semifascia	6	624	5.014999999999999e-44	Gypsy-6_AEc_env#LTR/Gypsy	1	624	8.025e-65	100.0	left
Cluster4185	UCQR01031720.1:634-1318(+):Cecidostiba_semifascia	634	1318	2.119e-37	Gypsy-24_NVi_env#LTR/Gypsy	632	1318	7.342e-125	100	full
Cluster4185	UCQR01031720.1:634-1318(+):Cecidostiba_semifascia	634	1318	2.119e-37	Gypsy-24_NVi_env#LTR/Gypsy	632	1318	7.342e-125	100.0	left
