query;target;pident;alnlen;mismatch;gapopen;qstart;qend;tstart;tend;evalue;bits;qlen;tlen;tcov;qcov;Cluster;Names;scaffolds;GC;Arithmetic_cov_depth;Scaf_length;Median_cov_depth;scaf_name;scaf_length;cov_depth_candidat;cov_depth_BUSCO;pvalue_cov;count_duplicate;diff_length;HSP_group;strand;overlapping_group;full_loci_name;ORF_query;ORF_target;ORF_start;ORF_end;ORF_strand;Overlapp_ORF_EVEs;ORF_perc;start-end;start;end;Overlapp_group;Pseudogenized;count_repeat;count_euk;euk_count_plus_repeat;Scaffold_score;loci_length;SE_dNdS;Pvalue_dNdS;dNdS;dNdS_type;SE_plus_dNdS
PoFV_scaffold_11706_orf002;PoFV_scaffold_15031:1850-3133(+);67.3;428;135;0;1;414;1;428;8.688999999999999e-185;574;418;428;1.0;0.99;Cluster502;PoFV_scaffold_15031:1850-3133(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;2;3.0;3.0;+;18;PoFV_scaffold_15031:1850-3133(+);PoFV_scaffold_15031:1850-3133(+);"scaffold_15031_ORF.7;1849-2290(+)";1849.0;2290.0;-;;0.3437256430241621;1850-3133;1850;3133;15.0;yes;0.0;0.0;0.0;C;1283;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_15031:7485-7695(+);73.1;53;14;0;20;71;1;53;1.123e-20;81;72;70;0.757;0.722;Cluster148;PoFV_scaffold_15031:7485-7695(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;2;29.0;18.0;+;20;PoFV_scaffold_15031:7485-7695(+);;;;;;;;7485-7695;7485;7695;;yes;0.0;0.0;0.0;C;210;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_15031:7485-7695(+);71.6;45;12;0;20;62;1;45;4.144e-16;68;66;70;0.643;0.652;Cluster148;PoFV_scaffold_15031:7485-7695(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;2;29.0;18.0;+;20;PoFV_scaffold_15031:7485-7695(+);;;;;;;;7485-7695;7485;7695;;yes;0.0;0.0;0.0;C;210;;;;;
PoFV_scaffold_64266_orf003;PoFV_scaffold_17380:5144-5340(+);61.0;42;15;0;9;48;21;62;3.513e-11;53;57;65;0.646;0.702;Cluster148;PoFV_scaffold_17380:5144-5340(+);scaffold_17380;0.297796093889984;32.5161290322581;5580.0;33.0;scaffold_17380;156;33.0;33.96815107102593;0.2068771138669673;2;28.0;19.0;+;30;PoFV_scaffold_17380:5144-5340(+);;;;;;;;5144-5340;5144;5340;;yes;0.0;0.0;0.0;C;196;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_17380:5144-5340(+);65.1;46;14;0;25;70;1;41;4.754e-14;62;72;65;0.631;0.639;Cluster148;PoFV_scaffold_17380:5144-5340(+);scaffold_17380;0.297796093889984;32.5161290322581;5580.0;33.0;scaffold_17380;156;33.0;33.96815107102593;0.2068771138669673;2;28.0;19.0;+;30;PoFV_scaffold_17380:5144-5340(+);;;;;;;;5144-5340;5144;5340;;yes;0.0;0.0;0.0;C;196;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_17380:5144-5340(+);79.4;38;8;0;25;62;3;40;5.286e-15;64;66;65;0.585;0.576;Cluster148;PoFV_scaffold_17380:5144-5340(+);scaffold_17380;0.297796093889984;32.5161290322581;5580.0;33.0;scaffold_17380;156;33.0;33.96815107102593;0.2068771138669673;2;28.0;19.0;+;30;PoFV_scaffold_17380:5144-5340(+);;;;;;;;5144-5340;5144;5340;;yes;0.0;0.0;0.0;C;196;;;;;
PoFV_scaffold_64266_orf003;PoFV_scaffold_399393:3-200(+);78.4;44;9;0;1;42;23;66;3.079e-18;73;57;66;0.667;0.737;Cluster148;PoFV_scaffold_399393:3-200(+);scaffold_399393;0.282178217821782;26.1990049751244;201.0;33.0;scaffold_399393;57;33.0;33.96815107102593;0.2068771138669673;2;70.0;37.0;+;79;PoFV_scaffold_399393:3-200(+);;;;;;;;3-200;3;200;;yes;0.0;0.0;0.0;C;197;;;;;
PoFV_scaffold_1254_orf001;PoFV_scaffold_399393:3-200(+);80.0;35;7;0;26;60;14;48;2.125e-13;60;70;66;0.53;0.5;Cluster148;PoFV_scaffold_399393:3-200(+);scaffold_399393;0.282178217821782;26.1990049751244;201.0;33.0;scaffold_399393;57;33.0;33.96815107102593;0.2068771138669673;2;70.0;37.0;+;79;PoFV_scaffold_399393:3-200(+);;;;;;;;3-200;3;200;;yes;0.0;0.0;0.0;C;197;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_399393:3-200(+);82.2;30;5;0;1;30;23;52;5.24e-11;53;72;66;0.455;0.417;Cluster148;PoFV_scaffold_399393:3-200(+);scaffold_399393;0.282178217821782;26.1990049751244;201.0;33.0;scaffold_399393;57;33.0;33.96815107102593;0.2068771138669673;2;70.0;37.0;+;79;PoFV_scaffold_399393:3-200(+);;;;;;;;3-200;3;200;;yes;0.0;0.0;0.0;C;197;;;;;
PoFV_scaffold_64266_orf003;PoFV_scaffold_495318:58-153(+);85.1;32;5;0;13;44;1;32;2.933e-13;59;57;32;1.0;0.561;Cluster148;PoFV_scaffold_495318:58-153(+);scaffold_495318;0.301282051282051;23.3483870967742;155.0;26.0;scaffold_495318;57;26.0;33.96815107102593;0.0;1;;;+;86;PoFV_scaffold_495318:58-153(+);;;;;;;;58-153;58;153;;no;0.0;0.0;0.0;C;95;;;;;
PoFV_scaffold_64266_orf003;PoFV_scaffold_542148:1-96(+);85.1;32;5;0;13;44;1;32;2.933e-13;59;57;32;1.0;0.561;Cluster148;PoFV_scaffold_542148:1-96(+);scaffold_542148;0.261194029850746;20.4661654135338;133.0;21.0;scaffold_542148;57;21.0;33.96815107102593;0.0;1;;;+;88;PoFV_scaffold_542148:1-96(+);;;;;;;;1-96;1;96;;no;0.0;0.0;0.0;C;95;;;;;
PoFV_scaffold_64266_orf003;PoFV_scaffold_119648:454-764(+);53.6;50;22;0;1;48;51;100;1.855e-11;54;57;103;0.485;0.842;Cluster148;PoFV_scaffold_119648:454-764(+);scaffold_119648;0.259605399792316;23.5966735966736;962.0;23.0;scaffold_119648;72;23.0;33.96815107102593;0.0;2;2.0;16.0;+;13;PoFV_scaffold_119648:454-764(+);;;;;;;;454-764;454;764;;yes;0.0;0.0;0.0;C;310;;;;;
PoFV_scaffold_1254_orf001;PoFV_scaffold_119648:454-764(+);45.3;60;32;0;6;65;22;81;1.243e-10;52;70;103;0.583;0.857;Cluster148;PoFV_scaffold_119648:454-764(+);scaffold_119648;0.259605399792316;23.5966735966736;962.0;23.0;scaffold_119648;72;23.0;33.96815107102593;0.0;2;2.0;16.0;+;13;PoFV_scaffold_119648:454-764(+);;;;;;;;454-764;454;764;;yes;0.0;0.0;0.0;C;310;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_119648:454-764(+);62.1;48;16;0;23;70;1;43;8.984e-14;61;72;103;0.417;0.667;Cluster148;PoFV_scaffold_119648:454-764(+);scaffold_119648;0.259605399792316;23.5966735966736;962.0;23.0;scaffold_119648;72;23.0;33.96815107102593;0.0;2;2.0;16.0;+;13;PoFV_scaffold_119648:454-764(+);;;;;;;;454-764;454;764;;yes;0.0;0.0;0.0;C;310;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_119648:454-764(+);81.6;38;7;0;25;62;5;42;1.077e-15;66;66;103;0.369;0.576;Cluster148;PoFV_scaffold_119648:454-764(+);scaffold_119648;0.259605399792316;23.5966735966736;962.0;23.0;scaffold_119648;72;23.0;33.96815107102593;0.0;2;2.0;16.0;+;13;PoFV_scaffold_119648:454-764(+);;;;;;;;454-764;454;764;;yes;0.0;0.0;0.0;C;310;;;;;
PoFV_scaffold_1254_orf001;PoFV_scaffold_7821:209-96(-);63.7;38;13;0;17;52;1;38;4.449e-10;51;70;38;1.0;0.514;Cluster148;PoFV_scaffold_7821:209-96(-);scaffold_7821;0.31157978511739;32.6687669960868;15077.0;33.0;scaffold_7821;123;33.0;33.96815107102593;0.2068771138669673;1;;;-;104;PoFV_scaffold_7821:209-96(-);;;;;;;;209-96;96;209;;no;0.0;0.0;0.0;C;113;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_19741:851-549(-);79.7;41;8;0;25;65;1;41;1.128e-16;70;72;101;0.406;0.569;Cluster148;PoFV_scaffold_19741:851-549(-);scaffold_19741;0.267485119047619;27.8394418604651;5375.0;26.0;scaffold_19741;102;26.0;33.96815107102593;0.0;2;29.0;20.0;-;39;PoFV_scaffold_19741:851-549(-);;;;;;;;851-549;549;851;;yes;0.0;0.0;0.0;C;302;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_19741:851-549(-);83.3;39;6;0;25;63;3;41;8.445e-17;70;66;101;0.386;0.591;Cluster148;PoFV_scaffold_19741:851-549(-);scaffold_19741;0.267485119047619;27.8394418604651;5375.0;26.0;scaffold_19741;102;26.0;33.96815107102593;0.0;2;29.0;20.0;-;39;PoFV_scaffold_19741:851-549(-);;;;;;;;851-549;549;851;;yes;0.0;0.0;0.0;C;302;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_126700:535-732(+);74.8;42;10;0;9;50;25;66;1.436e-15;66;72;66;0.636;0.583;Cluster148;PoFV_scaffold_126700:535-732(+);scaffold_126700;0.27290198590647;26.0384615384615;1560.0;26.0;scaffold_126700;66;26.0;33.96815107102593;0.0;2;28.0;17.0;+;15;PoFV_scaffold_126700:535-732(+);;;;;;;;535-732;535;732;;yes;0.0;0.0;0.0;C;197;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_126700:535-732(+);81.5;39;7;0;25;63;7;45;3.015e-16;68;66;66;0.591;0.591;Cluster148;PoFV_scaffold_126700:535-732(+);scaffold_126700;0.27290198590647;26.0384615384615;1560.0;26.0;scaffold_126700;66;26.0;33.96815107102593;0.0;2;28.0;17.0;+;15;PoFV_scaffold_126700:535-732(+);;;;;;;;535-732;535;732;;yes;0.0;0.0;0.0;C;197;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_294269:317-210(-);78.9;38;7;0;13;50;1;36;9.686e-15;64;72;36;1.0;0.528;Cluster148;PoFV_scaffold_294269:317-210(-);scaffold_294269;0.179245283018868;38.3301886792453;318.0;38.0;scaffold_294269;70;38.0;33.96815107102593;0.0095828635851183;1;;;-;57;PoFV_scaffold_294269:317-210(-);;;;;;;;317-210;210;317;;no;0.0;0.0;0.0;C;107;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_294269:317-210(-);75.2;36;9;0;13;48;1;36;1.187e-12;58;66;36;1.0;0.545;Cluster148;PoFV_scaffold_294269:317-210(-);scaffold_294269;0.179245283018868;38.3301886792453;318.0;38.0;scaffold_294269;70;38.0;33.96815107102593;0.0095828635851183;1;;;-;57;PoFV_scaffold_294269:317-210(-);;;;;;;;317-210;210;317;;no;0.0;0.0;0.0;C;107;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_485751:66-161(+);79.6;34;6;0;13;46;1;32;1.147e-12;58;72;32;1.0;0.472;Cluster148;PoFV_scaffold_485751:66-161(+);scaffold_485751;0.276073619631902;19.4382716049383;162.0;22.0;scaffold_485751;66;22.0;33.96815107102593;0.0;1;;;+;85;PoFV_scaffold_485751:66-161(+);;;;;;;;66-161;66;161;;no;0.0;0.0;0.0;C;95;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_485751:66-161(+);77.6;32;7;0;13;44;1;32;3.958e-11;53;66;32;1.0;0.485;Cluster148;PoFV_scaffold_485751:66-161(+);scaffold_485751;0.276073619631902;19.4382716049383;162.0;22.0;scaffold_485751;66;22.0;33.96815107102593;0.0;1;;;+;85;PoFV_scaffold_485751:66-161(+);;;;;;;;66-161;66;161;;no;0.0;0.0;0.0;C;95;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_139938:334-230(-);76.1;35;8;0;20;54;1;35;2.981e-12;57;72;35;1.0;0.486;Cluster148;PoFV_scaffold_139938:334-230(-);scaffold_139938;0.243047158403869;19.7639225181598;826.0;21.0;scaffold_139938;66;21.0;33.96815107102593;0.0;1;;;-;16;PoFV_scaffold_139938:334-230(-);;;;;;;;334-230;230;334;;no;0.0;0.0;0.0;C;104;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_139938:334-230(-);68.8;35;10;0;20;52;1;35;2.683e-10;51;66;35;1.0;0.5;Cluster148;PoFV_scaffold_139938:334-230(-);scaffold_139938;0.243047158403869;19.7639225181598;826.0;21.0;scaffold_139938;66;21.0;33.96815107102593;0.0;1;;;-;16;PoFV_scaffold_139938:334-230(-);;;;;;;;334-230;230;334;;no;0.0;0.0;0.0;C;104;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_98611:1063-1149(+);87.7;29;3;0;25;53;1;29;1.066e-11;55;72;29;1.0;0.403;Cluster148;PoFV_scaffold_98611:1063-1149(+);scaffold_98611;0.274543874891399;33.3008695652174;1150.0;33.0;scaffold_98611;66;33.0;33.96815107102593;0.2068771138669673;1;;;+;141;PoFV_scaffold_98611:1063-1149(+);;;;;;;;1063-1149;1063;1149;;no;0.0;0.0;0.0;C;86;;;;;
PoFV_scaffold_15158_orf001;PoFV_scaffold_98611:1063-1149(+);89.7;27;3;0;25;51;3;29;5.444e-11;53;66;29;0.931;0.409;Cluster148;PoFV_scaffold_98611:1063-1149(+);scaffold_98611;0.274543874891399;33.3008695652174;1150.0;33.0;scaffold_98611;66;33.0;33.96815107102593;0.2068771138669673;1;;;+;141;PoFV_scaffold_98611:1063-1149(+);;;;;;;;1063-1149;1063;1149;;no;0.0;0.0;0.0;C;86;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_164441:198-106(-);77.6;31;7;0;20;50;1;31;1.874e-10;52;72;31;1.0;0.431;Cluster148;PoFV_scaffold_164441:198-106(-);scaffold_164441;0.291666666666667;21.1237410071942;695.0;22.0;scaffold_164441;72;22.0;33.96815107102593;0.0;1;;;-;23;PoFV_scaffold_164441:198-106(-);;;;;;;;198-106;106;198;;no;0.0;0.0;0.0;C;92;;;;;
PoFV_scaffold_21671_orf005;PoFV_scaffold_86840:323-216(-);67.7;36;11;0;20;54;1;36;2.578e-10;51;72;36;1.0;0.486;Cluster148;PoFV_scaffold_86840:323-216(-);scaffold_86840;0.214621059691482;20.5892617449664;1490.0;23.0;scaffold_86840;72;23.0;33.96815107102593;0.0;1;;;-;126;PoFV_scaffold_86840:323-216(-);;;;;;;;323-216;216;323;;no;0.0;0.0;0.0;C;107;;;;;
PoFV_scaffold_11706_orf003;PoFV_scaffold_15031:1081-1779(+);80.3;249;46;0;1;249;1;233;5.343e-132;412;250;233;1.0;0.996;Cluster1048;PoFV_scaffold_15031:1081-1779(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;1;;;+;17;PoFV_scaffold_15031:1081-1779(+);PoFV_scaffold_15031:1081-1779(+);"scaffold_15031_ORF.2;570-1821(+)";570.0;1821.0;-;;1.7922636103151863;1081-1779;1081;1779;14.0;no;0.0;0.0;0.0;C;698;;;;;
PoFV_scaffold_21913_orf008;PoFV_scaffold_18363:2355-2699(+);34.6;123;75;0;1;123;1;115;2.459e-16;72;136;115;1.0;0.904;Cluster301;PoFV_scaffold_18363:2355-2699(+);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;1;;;+;33;PoFV_scaffold_18363:2355-2699(+);PoFV_scaffold_18363:2355-2699(+);"scaffold_18363_ORF.7;2354-2723(+)";2354.0;2723.0;-;;1.072674418604651;2355-2699;2355;2699;29.0;no;0.0;0.0;0.0;C;344;0.161906;0.0259;0.631411;pairwise;0.7933169999999999
PoFV_scaffold_21913_orf008;PoFV_scaffold_19741:4280-4672(+);68.0;131;41;0;1;130;1;131;7.179999999999999e-54;180;136;131;1.0;0.956;Cluster301;PoFV_scaffold_19741:4280-4672(+);scaffold_19741;0.267485119047619;27.8394418604651;5375.0;26.0;scaffold_19741;102;26.0;33.96815107102593;0.0;1;;;+;44;PoFV_scaffold_19741:4280-4672(+);PoFV_scaffold_19741:4280-4672(+);"scaffold_19741_ORF.3;4279-4687(+)";4279.0;4687.0;-;;1.0408163265306123;4280-4672;4280;4672;38.0;no;0.0;0.0;0.0;C;392;0.161906;0.0259;0.631411;pairwise;0.7933169999999999
PoFV_scaffold_21913_orf011;PoFV_scaffold_18363:3575-3991(+);82.6;139;24;0;1;139;1;139;3.1820000000000002e-74;239;140;139;1.0;0.993;Cluster101;PoFV_scaffold_18363:3575-3991(+);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;1;;;+;35;PoFV_scaffold_18363:3575-3991(+);PoFV_scaffold_18363:3575-3991(+);"scaffold_18363_ORF.5;3274-3991(+)";3274.0;3991.0;-;;1.7235576923076923;3575-3991;3575;3991;31.0;no;0.0;0.0;0.0;C;416;0.117711;0.0017980095948868;0.3128;classic;0.430511
PoFV_scaffold_21913_orf011;PoFV_scaffold_32496:320-736(+);93.2;139;9;0;1;139;1;139;2.723e-86;274;140;139;1.0;0.993;Cluster101;PoFV_scaffold_32496:320-736(+);scaffold_32496;0.312314295146913;34.2354689564069;3028.0;35.0;scaffold_32496;140;35.0;33.96815107102593;0.1567080045095828;1;;;+;62;PoFV_scaffold_32496:320-736(+);PoFV_scaffold_32496:320-736(+);"scaffold_32496_ORF.1;19-736(+)";19.0;736.0;-;;1.7235576923076923;320-736;320;736;53.0;no;0.0;0.0;0.0;C;416;0.117711;0.0017980095948868;0.3128;classic;0.430511
LbFV_YP_009345641.1;PoFV_scaffold_32496:320-736(+);30.4;137;93;0;5;139;96;232;3.018e-14;66;232;139;0.971;0.591;Cluster101;PoFV_scaffold_32496:320-736(+);scaffold_32496;0.312314295146913;34.2354689564069;3028.0;35.0;scaffold_32496;140;35.0;33.96815107102593;0.1567080045095828;1;;;+;62;PoFV_scaffold_32496:320-736(+);PoFV_scaffold_32496:320-736(+);"scaffold_32496_ORF.1;19-736(+)";19.0;736.0;-;;1.7235576923076923;320-736;320;736;53.0;no;0.0;0.0;0.0;C;416;0.117711;0.0017980095948868;0.3128;classic;0.430511
PoFV_scaffold_7638_orf006;PoFV_scaffold_18363:5057-5305(+);83.3;83;14;0;119;201;1;83;8.821e-39;145;318;83;1.0;0.261;Cluster297;PoFV_scaffold_18363:5057-5305(+);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;1;;;+;37;PoFV_scaffold_18363:5057-5305(+);;;;;;;;5057-5305;5057;5305;;no;0.0;0.0;0.0;C;248;0.078347;0.005089154;0.1395;classic;0.217847
DFV_QKN22505.1;PoFV_scaffold_8315:10320-9370(-);36.3;268;168;0;5;272;8;271;3.575e-45;163;302;317;0.833;0.887;Cluster297;PoFV_scaffold_8315:10320-9370(-);scaffold_8315;0.301560912533481;32.7433955292814;10826.0;32.0;scaffold_8315;130;32.0;33.96815107102593;0.0935738444193912;1;;;-;122;PoFV_scaffold_8315:10320-9370(-);PoFV_scaffold_8315:10320-9370(-);"scaffold_8315_ORF.21;9369-10320(-)";9369.0;10320.0;-;;1.0010526315789474;10320-9370;9370;10320;99.0;no;0.0;0.0;0.0;C;950;0.078347;0.005089154;0.1395;classic;0.217847
PoFV_scaffold_7638_orf006;PoFV_scaffold_8315:10320-9370(-);87.3;317;40;0;1;317;1;317;1.049e-187;576;318;317;1.0;0.997;Cluster297;PoFV_scaffold_8315:10320-9370(-);scaffold_8315;0.301560912533481;32.7433955292814;10826.0;32.0;scaffold_8315;130;32.0;33.96815107102593;0.0935738444193912;1;;;-;122;PoFV_scaffold_8315:10320-9370(-);PoFV_scaffold_8315:10320-9370(-);"scaffold_8315_ORF.21;9369-10320(-)";9369.0;10320.0;-;;1.0010526315789474;10320-9370;9370;10320;99.0;no;0.0;0.0;0.0;C;950;0.078347;0.005089154;0.1395;classic;0.217847
DFV_QKN22505.1;PoFV_scaffold_75772:601-2(-);32.8;196;129;0;10;202;4;199;2.8280000000000003e-25;104;302;200;0.98;0.639;Cluster297;PoFV_scaffold_75772:601-2(-);scaffold_75772;0.324388789505069;27.2303102625298;1676.0;28.0;scaffold_75772;302;28.0;33.96815107102593;0.0005636978579481;1;;;-;102;PoFV_scaffold_75772:601-2(-);;;;;;;;601-2;2;601;;no;0.0;0.0;0.0;C;599;0.078347;0.005089154;0.1395;classic;0.217847
